Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16930801201700000002P;FA050740;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16932604201700000066P;FA050755;PAGO CONFIRMADO;90.43;0;23/05/2017;31/05/2017;90.43;30/05/2017;ARCSA;23/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16930801201700000003P;FA050739;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930730201700000009P;FA050754;PAGO CONFIRMADO;142.94;0;23/05/2017;31/05/2017;142.94;30/05/2017;ARCSA;23/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16781903201600000005P;FA050738;PAGO CONFIRMADO;2258.41;0;23/05/2017;31/05/2017;2258.41;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930801201700000005P;FA050753;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16932604201700000060P;FA050751;PAGO CONFIRMADO;90.43;0;23/05/2017;31/05/2017;90.43;30/05/2017;ARCSA;23/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16932604201700000062P;FA050743;PAGO CONFIRMADO;90.43;0;23/05/2017;31/05/2017;90.43;30/05/2017;ARCSA;23/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16792419201700000006P;FA050681;PAGO CONFIRMADO;104.53;0;22/05/2017;30/05/2017;104.53;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792419201700000005P;FA050660;PAGO CONFIRMADO;104.53;0;22/05/2017;30/05/2017;104.53;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901726201700000049P;FA050679;PAGO CONFIRMADO;90.43;0;22/05/2017;30/05/2017;90.43;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792419201700000004P;FA050677;PAGO CONFIRMADO;104.53;0;22/05/2017;30/05/2017;104.53;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
