Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16794048201700000003P;FA051496;PAGO CONFIRMADO;104,53;0;01/06/2017;09/06/2017;104.53;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927383201700000261P;FA051513;PAGO CONFIRMADO;90,43;0;01/06/2017;09/06/2017;90.43;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794048201700000001P;FA051511;PAGO CONFIRMADO;104,53;0;01/06/2017;09/06/2017;104.53;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794048201700000002P;FA051505;PAGO CONFIRMADO;104,53;0;01/06/2017;09/06/2017;104.53;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927374201700000096P;FA051471;PAGO CONFIRMADO;58,34;0;31/05/2017;08/06/2017;58.34;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792791201700000077P;FA051465;PAGO CONFIRMADO;904,34;0;31/05/2017;08/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792791201700000046P;FA051464;PAGO CONFIRMADO;904,34;0;31/05/2017;08/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792791201700000045P;FA051449;PAGO CONFIRMADO;904,34;0;31/05/2017;08/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792791201700000049P;FA051463;PAGO CONFIRMADO;904,34;0;31/05/2017;08/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792791201700000048P;FA051462;PAGO CONFIRMADO;904,34;0;31/05/2017;08/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792791201700000047P;FA051447;PAGO CONFIRMADO;904,34;0;31/05/2017;08/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792791201700000031P;FA051444;PAGO CONFIRMADO;904,34;0;31/05/2017;08/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
